Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
5354,Grandia Xtreme,PS2,2002,Role-Playing,Enix,0.07,0.05,0.25,0.02,0.38
5355,Virtua Tennis 2009,PS3,2009,Sports,Sega,0.09,0.22,0.0,0.06,0.38
5356,Silent Scope,PS2,2000,Shooter,Konami,0.19,0.15,0.0,0.05,0.38
5357,Final Fantasy Adventure,GB,1991,Adventure,Square,0.0,0.0,0.38,0.0,0.38
5358,Dora The Explorer: Dora Saves the Snow Princess,PS2,2008,Platform,2K Play,0.19,0.15,0.0,0.05,0.38
5359,The Incredible Hulk,PS2,2008,Action,Sega,0.32,0.01,0.0,0.05,0.38
5360,Mercenaries 2: World in Flames,PS2,2008,Shooter,Electronic Arts,0.21,0.0,0.0,0.17,0.38
5361,FIFA 14,PC,2013,Sports,EA Sports,0.01,0.35,0.0,0.02,0.38
5362,Tokimeki Memorial: Forever with You,SAT,1996,Simulation,Konami,0.0,0.0,0.38,0.0,0.38
5363,Phantasy Star 0,DS,2009,Role-Playing,Sega,0.16,0.0,0.2,0.01,0.38
5364,MediEvil II,PS,2000,Adventure,Sony Computer Entertainment,0.21,0.14,0.0,0.02,0.38
5365,Hunter: The Reckoning,XB,2002,Action,Interplay,0.28,0.08,0.0,0.01,0.38
5366,MX vs. ATV Untamed,PS2,2007,Racing,THQ,0.32,0.01,0.0,0.05,0.38
5367,Rogue Trip: Vacation 2012,PS,1998,Racing,GT Interactive,0.21,0.14,0.0,0.02,0.38
5368,Dai-4-Ji Super Robot Taisen,SNES,1995,Strategy,Banpresto,0.0,0.0,0.38,0.0,0.38
5369,Just Dance 2016,XOne,2015,Music,Ubisoft,0.3,0.04,0.0,0.04,0.38
5370,Cabela's Dangerous Hunts 2009,Wii,2008,Sports,Activision,0.35,0.0,0.0,0.03,0.38
5371,Scribblenauts: Unlimited,WiiU,2012,Puzzle,Warner Bros. Interactive Entertainment,0.25,0.1,0.0,0.04,0.38
5372,Pro Evolution Soccer 2011 3D,3DS,2011,Sports,Konami,0.11,0.13,0.11,0.02,0.38
5373,Persona 4: Dancing All Night,PSV,2015,Music,Atlus,0.12,0.04,0.16,0.05,0.38
5374,Pokémon Channel,GC,2003,Adventure,Nintendo,0.24,0.06,0.07,0.01,0.38
5375,Taiko no Tatsujin Portable DX,PSP,2011,Misc,Namco Bandai,0.0,0.0,0.38,0.0,0.38
5376,NBA 2K7,PS3,2006,Sports,2K Sports,0.3,0.04,0.0,0.03,0.38
